Fecha,Producto bruto interno (millones US$) - PBI (millones US$),fecha_carga
T224,73455,2025-11-28
T324,75900,2025-11-28
T424,80100,2025-11-28
T125,74261,2025-11-28
T225,81094,2025-11-28
T325,86716,2025-11-28
T194,9473,2025-11-29
T294,10607,2025-11-29
T394,10668,2025-11-29
T494,11972,2025-11-29
T195,12096,2025-11-29
T295,13191,2025-11-29
T395,13040,2025-11-29
T495,13080,2025-11-29
T196,12761,2025-11-29
T296,13973,2025-11-29
T396,13259,2025-11-29
T496,13419,2025-11-29
T197,12964,2025-11-29
T297,14645,2025-11-29
T397,14303,2025-11-29
T497,14391,2025-11-29
T198,13660,2025-11-29
T298,14407,2025-11-29
T398,13381,2025-11-29
T498,12584,2025-11-29
T199,11570,2025-11-29
T299,12667,2025-11-29
T399,11934,2025-11-29
T499,12554,2025-11-29
T100,12431,2025-11-29
T200,13242,2025-11-29
T300,12428,2025-11-29
T400,12331,2025-11-29
T101,11854,2025-11-29
T201,13160,2025-11-29
T301,12743,2025-11-29
T401,13292,2025-11-29
T102,12765,2025-11-29
T202,14499,2025-11-29
T302,12987,2025-11-29
T402,13738,2025-11-29
T103,13787,2025-11-29
T203,15496,2025-11-29
T303,14335,2025-11-29
T403,14928,2025-11-29
T104,15233,2025-11-29
T204,17316,2025-11-29
T304,16045,2025-11-29
T404,17561,2025-11-29
T105,17283,2025-11-29
T205,19655,2025-11-29
T305,18248,2025-11-29
T405,19055,2025-11-29
T106,19607,2025-11-29
T206,22585,2025-11-29
T306,22112,2025-11-29
T406,23263,2025-11-29
T107,23004,2025-11-29
T207,25423,2025-11-29
T307,25613,2025-11-29
T407,28347,2025-11-29
T108,28393,2025-11-29
T208,32426,2025-11-29
T308,31074,2025-11-29
T408,29231,2025-11-29
T109,26497,2025-11-29
T209,30251,2025-11-29
T309,31319,2025-11-29
T409,34627,2025-11-29
T110,33322,2025-11-29
T210,37346,2025-11-29
T310,38148,2025-11-29
T410,40567,2025-11-29
T111,39062,2025-11-29
T211,42338,2025-11-29
T311,43731,2025-11-29
T411,45679,2025-11-29
T112,44197,2025-11-29
T212,47455,2025-11-29
T312,49457,2025-11-29
T412,52127,2025-11-29
