Calendar,GMT,Reference,Reference.1,Actual,Previous,Consensus,TEForecast,fecha_carga
2025-08-01,11:00 AM,Inflation Rate YoY,Jul,1.69%,1.69%,,1.8%,2025-08-17
2025-09-01,09:00 AM,Inflation Rate YoY,Aug,,1.69%,,1.8%,2025-08-17
2025-07-01,07:30 AM,Inflation Rate YoY,Jun,1.70%,1.69%,,1.7%,2025-08-18
2025-08-01,11:00 AM,Inflation Rate YoY,Jul,1.69%,1.69%,,1.8%,2025-08-18
2025-09-01,09:00 AM,Inflation Rate YoY,Aug,,1.69%,,1.8%,2025-08-18
2025-07-01,07:30 AM,Inflation Rate YoY,Jun,1.70%,1.69%,,1.7%,2025-08-19
2025-08-01,11:00 AM,Inflation Rate YoY,Jul,1.69%,1.69%,,1.8%,2025-08-19
2025-09-01,09:00 AM,Inflation Rate YoY,Aug,,1.69%,,1.8%,2025-08-19
2025-07-01,07:30 AM,Inflation Rate YoY,Jun,1.70%,1.69%,,1.7%,2025-08-20
2025-08-01,11:00 AM,Inflation Rate YoY,Jul,1.69%,1.69%,,1.8%,2025-08-20
2025-09-01,09:00 AM,Inflation Rate YoY,Aug,,1.69%,,1.8%,2025-08-20
2025-07-01,07:30 AM,Inflation Rate YoY,Jun,1.70%,1.69%,,1.7%,2025-08-21
2025-08-01,11:00 AM,Inflation Rate YoY,Jul,1.69%,1.69%,,1.8%,2025-08-21
2025-09-01,09:00 AM,Inflation Rate YoY,Aug,,1.69%,,1.8%,2025-08-21
2025-07-01,07:30 AM,Inflation Rate YoY,Jun,1.70%,1.69%,,1.7%,2025-08-22
2025-08-01,11:00 AM,Inflation Rate YoY,Jul,1.69%,1.69%,,1.8%,2025-08-22
2025-09-01,09:00 AM,Inflation Rate YoY,Aug,,1.69%,,1.8%,2025-08-22
2025-07-01,07:30 AM,Inflation Rate YoY,Jun,1.70%,1.69%,,1.7%,2025-08-23
2025-08-01,11:00 AM,Inflation Rate YoY,Jul,1.69%,1.69%,,1.8%,2025-08-23
