Related,Last,Previous,Unit,Reference,fecha_carga
CPI Transportation,113.13,113.2,points,Jun 2025,2025-07-08
Inflation Rate YoY,1.69,1.69,percent,Jun 2025,2025-07-08
Inflation Rate MoM,0.13,-0.06,percent,Jun 2025,2025-07-08
Producer Prices,130.21,130.73,points,May 2025,2025-07-08
Consumer Price Index CPI,115.66,115.51,points,Jun 2025,2025-07-09
Core Consumer Prices,115.58,115.42,points,May 2025,2025-07-09
Core Inflation Rate,2.28,2.3,percent,May 2025,2025-07-09
CPI Housing Utilities,104.15,104.03,points,Jun 2025,2025-07-09
CPI Transportation,113.13,113.2,points,Jun 2025,2025-07-09
Inflation Rate YoY,1.69,1.69,percent,Jun 2025,2025-07-09
Inflation Rate MoM,0.13,-0.06,percent,Jun 2025,2025-07-09
Producer Prices,130.21,130.73,points,May 2025,2025-07-09
Consumer Price Index CPI,115.66,115.51,points,Jun 2025,2025-07-10
Core Consumer Prices,115.81,115.58,points,Jun 2025,2025-07-10
Core Inflation Rate,2.28,2.28,percent,Jun 2025,2025-07-10
CPI Housing Utilities,104.15,104.03,points,Jun 2025,2025-07-10
CPI Transportation,113.13,113.2,points,Jun 2025,2025-07-10
Inflation Rate YoY,1.69,1.69,percent,Jun 2025,2025-07-10
Inflation Rate MoM,0.13,-0.06,percent,Jun 2025,2025-07-10
Producer Prices,130.21,130.73,points,May 2025,2025-07-10
Consumer Price Index CPI,115.66,115.51,points,Jun 2025,2025-07-11
Core Consumer Prices,115.81,115.58,points,Jun 2025,2025-07-11
Core Inflation Rate,2.28,2.28,percent,Jun 2025,2025-07-11
CPI Housing Utilities,104.15,104.03,points,Jun 2025,2025-07-11
CPI Transportation,113.13,113.2,points,Jun 2025,2025-07-11
Inflation Rate YoY,1.69,1.69,percent,Jun 2025,2025-07-11
Inflation Rate MoM,0.13,-0.06,percent,Jun 2025,2025-07-11
Producer Prices,130.21,130.73,points,May 2025,2025-07-11
Consumer Price Index CPI,115.66,115.51,points,Jun 2025,2025-07-12
Core Consumer Prices,115.81,115.58,points,Jun 2025,2025-07-12
Core Inflation Rate,2.28,2.28,percent,Jun 2025,2025-07-12
CPI Housing Utilities,104.15,104.03,points,Jun 2025,2025-07-12
CPI Transportation,113.13,113.2,points,Jun 2025,2025-07-12
Inflation Rate YoY,1.69,1.69,percent,Jun 2025,2025-07-12
Inflation Rate MoM,0.13,-0.06,percent,Jun 2025,2025-07-12
Producer Prices,130.21,130.73,points,May 2025,2025-07-12
Consumer Price Index CPI,115.66,115.51,points,Jun 2025,2025-07-13
Core Consumer Prices,115.81,115.58,points,Jun 2025,2025-07-13
Core Inflation Rate,2.28,2.28,percent,Jun 2025,2025-07-13
CPI Housing Utilities,104.15,104.03,points,Jun 2025,2025-07-13
CPI Transportation,113.13,113.2,points,Jun 2025,2025-07-13
Inflation Rate YoY,1.69,1.69,percent,Jun 2025,2025-07-13
Inflation Rate MoM,0.13,-0.06,percent,Jun 2025,2025-07-13
Producer Prices,130.21,130.73,points,May 2025,2025-07-13
Consumer Price Index CPI,115.66,115.51,points,Jun 2025,2025-07-14
Core Consumer Prices,115.81,115.58,points,Jun 2025,2025-07-14
Core Inflation Rate,2.28,2.28,percent,Jun 2025,2025-07-14
CPI Housing Utilities,104.15,104.03,points,Jun 2025,2025-07-14
CPI Transportation,113.13,113.2,points,Jun 2025,2025-07-14
Inflation Rate YoY,1.69,1.69,percent,Jun 2025,2025-07-14
Inflation Rate MoM,0.13,-0.06,percent,Jun 2025,2025-07-14
Producer Prices,130.21,130.73,points,May 2025,2025-07-14
Consumer Price Index CPI,115.66,115.51,points,Jun 2025,2025-07-15
