Fecha,Indicadores de riesgo para países emergentes: EMBIG - Diferencial de Rendimientos del Índice de Bonos de Mercados Emergentes (EMBIG) - Perú,fecha_carga
Jun18,163,2025-06-12
Jul18,151,2025-06-12
Ago18,149,2025-06-12
Sep18,140,2025-06-12
Oct18,143,2025-06-12
Nov18,157,2025-06-12
Dic18,165,2025-06-12
Ene19,152,2025-06-12
Feb19,140,2025-06-12
Mar19,136,2025-06-12
Abr19,122,2025-06-12
May19,136,2025-06-12
Jun19,129,2025-06-12
Jul19,116,2025-06-12
Ago19,127,2025-06-12
Sep19,116,2025-06-12
Oct19,127,2025-06-12
Nov19,127,2025-06-12
Dic19,116,2025-06-12
Ene20,114,2025-06-12
Feb20,122,2025-06-12
Mar20,249,2025-06-12
Abr20,278,2025-06-12
May20,222,2025-06-12
Jun20,180,2025-06-12
Jul20,169,2025-06-12
Ago20,146,2025-06-12
Sep20,160,2025-06-12
Oct20,150,2025-06-12
Nov20,147,2025-06-12
Dic20,143,2025-06-12
Ene21,132,2025-06-12
Feb21,138,2025-06-12
Mar21,165,2025-06-12
Abr21,165,2025-06-12
May21,164,2025-06-12
Jun21,169,2025-06-12
Jul21,170,2025-06-12
Ago21,183,2025-06-12
Sep21,174,2025-06-12
Oct21,172,2025-06-12
Nov21,179,2025-06-12
Dic21,174,2025-06-12
Ene22,177,2025-06-12
Feb22,198,2025-06-12
Mar22,201,2025-06-12
Abr22,187,2025-06-12
May22,218,2025-06-12
Jun22,214,2025-06-12
Jul22,235,2025-06-12
Ago22,211,2025-06-12
Sep22,225,2025-06-12
Oct22,243,2025-06-12
Nov22,203,2025-06-12
Dic22,196,2025-06-12
Ene23,207,2025-06-12
Feb23,192,2025-06-12
Mar23,204,2025-06-12
Abr23,202,2025-06-12
May23,197,2025-06-12
Jun23,181,2025-06-12
Jul23,169,2025-06-12
Ago23,167,2025-06-12
Sep23,169,2025-06-12
Oct23,180,2025-06-12
Nov23,175,2025-06-12
Dic23,162,2025-06-12
Ene24,170,2025-06-12
Feb24,160,2025-06-12
Mar24,153,2025-06-12
Abr24,154,2025-06-12
May24,156,2025-06-12
Jun24,161,2025-06-12
Jul24,159,2025-06-12
Ago24,170,2025-06-12
Sep24,163,2025-06-12
Oct24,154,2025-06-12
Nov24,155,2025-06-12
Dic24,154,2025-06-12
Ene25,157,2025-06-12
Feb25,158,2025-06-12
Mar25,163,2025-06-12
Abr25,178,2025-06-12
May25,159,2025-06-12
Ago06,173,2025-06-13
Sep06,172,2025-06-13
Oct06,148,2025-06-13
Nov06,147,2025-06-13
Dic06,131,2025-06-13
Ene07,122,2025-06-13
Feb07,127,2025-06-13
Mar07,132,2025-06-13
Abr07,118,2025-06-13
May07,110,2025-06-13
Jun07,104,2025-06-13
Jul07,129,2025-06-13
Ago07,169,2025-06-13
Sep07,156,2025-06-13
Oct07,138,2025-06-13
Nov07,175,2025-06-13
Dic07,174,2025-06-13
Ene08,195,2025-06-13
Feb08,209,2025-06-13
Mar08,222,2025-06-13
Abr08,182,2025-06-13
May08,154,2025-06-13
Jun08,160,2025-06-13
Jul08,198,2025-06-13
Ago08,195,2025-06-13
Sep08,255,2025-06-13
Oct08,500,2025-06-13
Nov08,484,2025-06-13
Dic08,523,2025-06-13
Ene09,463,2025-06-13
Feb09,419,2025-06-13
Mar09,409,2025-06-13
Abr09,360,2025-06-13
May09,292,2025-06-13
Jun09,258,2025-06-13
Jul09,274,2025-06-13
Ago09,240,2025-06-13
Sep09,226,2025-06-13
Oct09,195,2025-06-13
Nov09,190,2025-06-13
Dic09,179,2025-06-13
Ene10,178,2025-06-13
Feb10,200,2025-06-13
Mar10,158,2025-06-13
Abr10,144,2025-06-13
May10,202,2025-06-13
Jun10,207,2025-06-13
Jul10,187,2025-06-13
Ago10,157,2025-06-13
Sep10,167,2025-06-13
Oct10,157,2025-06-13
Nov10,152,2025-06-13
Dic10,157,2025-06-13
Ene11,146,2025-06-13
Feb11,146,2025-06-13
Mar11,157,2025-06-13
Abr11,193,2025-06-13
May11,187,2025-06-13
Jun11,192,2025-06-13
Jul11,171,2025-06-13
